NAME,OTHERNAME,PLANETDISCMETH,DATE,MSINI,I,R,A,PER,ECC,STAR,V,VURL,VREF,DIST,MSTAR,RSTAR,TEFF,LOGG,FE
,,,,mjupiter,deg,rjupiter,au,day,,,,,,pc,msun,rsun,k,,
Kepler-107 d,KOI-117,Transit,2014,,,0.095459,0.0780099,7.958203,,Kepler-107,,,,,,1.411,5851,4.196,
Kepler-1049 b,,Transit,2016,,,0.085,0.0344721,3.27346074,0,Kepler-1049,,,,129,0.51,0.49,3864,4.77,-0.33
Kepler-813 b,,Transit,2016,,,0.191,0.13761,19.12947337,0,Kepler-813,,,,840,0.95,0.93,5743,4.48,-0.13
Kepler-427 b,KOI-192 b,Transit,2010,0.310432,89.5,1.23,0.091351,10.290994,0,Kepler-427,14.42,,,1100,0.96,1.35,5800,4.14,-0.19
Kepler-1056 b,,Transit,2016,,,0.269,0.185149,27.495606,0,Kepler-1056,,,,971,1.12,1.2,6127,4.33,0.02
Kepler-1165 b,,Transit,2016,,,0.138,0.0912977,9.478522,0,Kepler-1165,,,,1081,1.13,1.18,6080,4.34,0.05
Kepler-1104 b,,Transit,2016,,,0.11,0.0627651,5.03728015,0,Kepler-1104,,,,516,1.3,1.41,6417,4.25,0.13
WASP-14 b,2MASS J14330635+2153409,Transit,2009,7.65457,84.32,1.281,0.0367693,2.243752,0.091,WASP-14,9.75,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,160,1.31,1.31,6475,4.07,0
Kepler-50 b,KOI-262,Transit,2011,,,0.196096,0.0825598,7.8125124,,Kepler-50,10.54,,,,1.23,1.88,6058,3.98,
NN Ser d,2MASS J15525613+1254446,Timing,2010,0.642621,,,3.70596,2605,0.05,NN Ser,16.672,,,,,,,,
WASP-105 b,,Transit,2017,1.75919,89.7,0.981089,0.0745473,7.87288,0,WASP-105,12.1,,,,0.89,0.9,5070,4.2,0.28
GJ 625 b,,RV,2017,0.0089295,,,0.0783624,14.628,0.13,GJ 625,10.17,,,6.49,0.3,0.31,3499,4.94,-0.38
Kepler-1279 b,,Transit,2016,,,0.156,0.170989,23.4774101,0,Kepler-1279,,,,1017,1.21,1.33,6221,4.26,0.06
Kepler-1599 b,,Transit,2016,,,0.145,0.48075,122.363553,0,Kepler-1599,,,,1004,0.99,0.99,5767,4.45,0.02
Kepler-20 b,KOI-70,Transit,2011,0.0266149,86.5,0.170247,0.0453704,3.6961219,0,Kepler-20,12.51,,,290,0.912,0.944,5466,4.4,0.02
HAT-P-27 b,WASP-40,Transit,2011,0.615135,85,1.02,0.0399488,3.039577,0,HAT-P-27,12.2,http://adsabs.harvard.edu/abs/2011PASP..123..555A,Anderson 2011,204,0.92,0.87,5190,4.5,0.14
Kepler-181 b,KOI-543,Transit,2014,,,0.113302,0.0419466,3.137873,,Kepler-181,,,,,,0.749,5333,4.619,
HD 116029 b,2MASS J13203954+2438555,RV,2011,1.9075,,,1.64869,670,0,HD 116029,8.04,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,123.198,1.33,5.04235,4811,3.21,0.08
Kepler-207 b,KOI-665,Transit,2014,,,0.140066,0.0269045,1.611865,,Kepler-207,,,,,,1.588,5920,4.129,
Kepler-1156 b,,Transit,2016,,,0.118,0.101981,11.89520511,0,Kepler-1156,,,,759,1,1,5778,4.44,0.02
Kepler-1512 b,,Transit,2016,,,0.105,0.13139,20.35972599,0,Kepler-1512,,,,162,0.73,0.67,4372,4.64,0.2
Kepler-787 b,,Transit,2016,,,0.114,0.0161327,0.9283105,0,Kepler-787,,,,468,0.65,0.62,4248,4.67,-0.09
Kepler-528 b,,Transit,2016,,,0.186,0.143629,19.78297415,0,Kepler-528,,,,711,1.01,1.06,5807,4.39,0.02
HD 219828 b,,RV,2007,0.0622185,,,0.0515012,3.8334999,0,HD 219828,8.04,,,72.3066,1.24,1.4682,5891,4.18,0.19
Kepler-480 b,,Transit,2016,,,0.248,0.0609811,4.9195838,0,Kepler-480,,,,806,1.25,1.34,6322,4.28,0.11
Kepler-1567 b,,Transit,2016,,,0.244,0.5527,153.979578,0,Kepler-1567,,,,1226,0.95,0.93,5655,4.49,-0.03
HD 3167 b,EPIC 220383386,Transit,2016,0.0157857,83.4,,0.0181491,0.959641,0,HD 3167,8.94,,,45.8,0.866,,5261,4.47,0.04
Kepler-1390 b,,Transit,2016,,,0.105,0.0675681,6.48021673,0,Kepler-1390,,,,760,0.98,0.98,5753,4.45,-0.01
Kepler-1642 b,,Transit,2016,,,0.285,0.0994208,12.2057513,0,Kepler-1642,,,,447,0.88,0.84,5355,4.54,-0.01
Kepler-11 c,KOI-157,Transit,2011,,89.59,0.255816,0.106909,13.0241,0.0256125,Kepler-11,,,,,0.961,1.065,5663,4.366,0.0182
Kepler-871 b,,Transit,2016,,,0.334,0.159318,22.0459018,0,Kepler-871,,,,1695,1.11,1.14,5993,4.37,0.09
Kepler-1131 b,,Transit,2016,,,0.142,0.0458416,3.53232449,0,Kepler-1131,,,,1109,1.03,1.04,5851,4.42,0.05
Kepler-705 b,,Transit,2016,,,0.188,0.231978,56.0560538,0,Kepler-705,,,,251,0.53,0.51,3722,4.75,0.07
HD 1237 b,GJ 3021,RV,2001,3.3748,,,0.494668,133.71001,0.511,HD 1237,6.59,,,17.4978,0.9,0.858011,5536,4.56,0.12
WASP-21 b,2MASS J23095825+1823459,Transit,2010,0.300201,88.75,1.07,0.0521087,4.322482,0,WASP-21,11.58,,,242.131,1.01,1.06,5800,4.2,-0.46
Kepler-284 c,KOI-1301,Transit,2014,,,0.232849,0.219317,37.514456,,Kepler-284,,,,,,0.814,5615,4.58,
Kepler-186 c,KOI-571,Transit,2014,,,0.111418,0.0574114,7.267302,0.03,Kepler-186,,,,151,0.478,0.472,3788,4.77,-0.28
